# from	to
_File	文件
_Edit	编辑
_Code	代码
_View	查看
_Plots	绘图
_Session	会话
_Build	构建
_Debug	调试
_Profile	性能分析
_Tools	工具
_Help	帮助
_Addins	插件
_Memory	内存
P_anes	窗格
Show Other _Panes	显示其他窗格
Set _Working Directory	设置工作目录
Background _Jobs	后台任务
_Version Control	版本控制
_Workbench Jobs	工作台任务
New _File	新建文件
_Recent Files	最近文件
Recent Pro_jects	最近项目
_Import Dataset	导入数据集
_New Session	新建会话
_New Terminal	新建终端
New _Project...	新建项目...
_Open File...	打开文件...
_Open Profile...	打开性能分析结果...
_Open Profile in Browser	在浏览器中打开性能分析结果
_Quit Session...	退出会话...
_Save	保存
_Save As Web Page...	另存为网页...
_Close	关闭
_Copy	复制
_Paste	粘贴
_Undo	撤销
_Find...	查找...
_Replace and Find	替换并查找
_Use Selection for Find	用选中内容查找
_Find in Console	在控制台中查找
_Refresh Environment	刷新环境
_Interrupt R	中断 R
_Restart R	重启 R
_Terminate R...	终止 R...
_Suspend R Session	挂起 R 会话
_Choose Directory...	选择目录...
_Previous Plot	上一张图
_Next Plot	下一张图
_Zoom Plot...	放大绘图...
_Remove Plot...	删除绘图...
_Clear All...	全部清空...
_Comment/Uncomment Lines	注释/取消注释行
_Reindent Lines	重新缩进行
_Go To Function Definition	转到函数定义
_Run All Chunks Above	运行上方所有代码块
_Insert Chunk	插入代码块
_Insert Section...	插入章节...
_Use Visual Editor	使用可视化编辑器
_R Script	R 脚本
_Quarto Document...	Quarto 文档...
_Quarto Presentation...	Quarto 演示文稿...
_C File	C 文件
_C++ File	C++ 文件
_CSS File	CSS 文件
_Document	文档
_Source	执行脚本
_Knit Document	编织文档
_Render Document	渲染文档
_Compile PDF	编译 PDF
_Compile Report...	编译报告...
_Output Options...	输出选项...
_Build	构建
_Load All	加载全部
_Test Package	测试包
_Check Package	检查包
_Clean All	全部清理
_Clean Unused Packages...	清理未使用包...
_Install Package	安装包
_Initialize Packrat...	初始化 Packrat...
_Continue	继续
_Break in Code	在代码中中断
_Finish Function/Loop	完成函数/循环
_Stop Debugging	停止调试
_Error Inspector	错误检查器
_Start Profiling	开始性能分析
_Profile Selected Line(s)	分析选中行性能
_Word Count	字数统计
_Preview Site	预览站点
_View in Browser	在浏览器中查看
_Start Background Job...	启动后台任务...
_Clear Background Jobs	清空后台任务
_Global Options...	全局选项...
_Project Options...	项目选项...
_Preferences...	偏好设置...
_Terminal Options...	终端选项...
_Modify Keyboard Shortcuts...	修改键盘快捷键...
_Keyboard Shortcuts Help	键盘快捷键帮助
_Edit Code Snippets...	编辑代码片段...
_Manage Accounts...	管理账号...
_Open Developer Console	打开开发者控制台
_Write Diagnostics Report	写入诊断报告
_Show Log Files	显示日志文件
_Browse Addins...	浏览插件...
_Browse Cheat Sheets...	浏览速查表...
_RStudio IDE Cheat Sheet	RStudio IDE 速查表
_Markdown Quick Reference	Markdown 快速参考
_Roxygen Quick Reference	Roxygen 快速参考
A_bout RStudio	关于 RStudio
Accessibility _Help...	辅助功能帮助...
Accessibility _Options...	辅助功能选项...
Add Source Column	添加源列
Add Secondary Repository	添加备用仓库
Add Remote	添加远程仓库
Add Remote...	添加远程仓库...
Add Files or Folders	添加文件或文件夹
Add more...	添加更多...
Add new account	添加新账号
Add environment variables...	添加环境变量...
Add to user dictionary	添加到用户词典
All	全部
All Files	所有文件
All Formats	所有格式
All chunks	所有代码块
Always save R scripts before sourcing	执行脚本前总是保存 R 脚本
Always save files before build	构建前总是保存文件
Always save history (even when not saving .RData)	总是保存历史记录（即使不保存 .RData）
Always save history (even if not saving .RData):	总是保存历史记录（即使不保存 .RData）：
