file	count	from	to
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	2	'R Markdown'	'R Markdown'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'R Markdown...'	'R Markdown...'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Plumber API...'	'Plumber API...'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	2	'API'	'API'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Plumber API...'	'Plumber API...'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	2	'R Markdown'	'R Markdown'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'R Markdown...'	'R Markdown...'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	2	'Copilot'	'Copilot'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Posit Assistant'	'Posit Assistant'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'To Console'	'发送到控制台'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Send the selected commands to the R console (Enter)'	'将所选命令发送到 R 控制台（Enter）'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Send Command to Console'	'发送命令到控制台'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Send to _Console'	'发送到控制台'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'To Source'	'插入到源代码'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Insert the selected commands into the current document (Shift+Enter)'	'将所选命令插入当前文档（Shift+Enter）'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Insert Command into Document'	'插入命令到文档'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Insert into _Source'	'插入到源代码'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Show In Context'	'在上下文中显示'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'New Connection'	'新建连接'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'New Connection...'	'新建连接...'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Create a new connection'	'创建新连接'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'How to create new connections to data sources.'	'如何创建到数据源的新连接。'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Connection'	'连接'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Connection:'	'连接：'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Connections Tab'	'连接标签页'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Connections Tab Connection'	'连接标签页连接'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Show Connections Pane'	'显示连接窗格'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Show Co_nnections'	'显示连接'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Find in Topic'	'在主题中查找'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Find next (Enter)'	'查找下一个（Enter）'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Find previous'	'查找上一个'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Search help'	'搜索帮助'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Help Tab'	'帮助标签页'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Help Tab Second'	'帮助标签页第二项'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Error installing learnr'	'安装 learnr 出错'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'RStudio was unable to install the learnr package.'	'RStudio 无法安装 learnr 包。'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Error Loading Tutorial'	'加载教程出错'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Tutorial Pane'	'教程窗格'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Tutorial Tab'	'教程标签页'
F57C65C0FB6D55A2FB6DB8DF1FE11E77.cache.js	1	'Posit Support'	'Posit 支持'
